Season,Champion,Runner-Up
1990-91,Chicago,Los Angeles Lakers
1991-92,Chicago,Portland Trail Blazers
1992-93,Chicago,Phoenix Suns
1993-94,Houston,New York Knicks
1994-95,Houston,Orlando Magic
1995-96,Chicago,Seattle SuperSonics
1996-97,Chicago,Utah Jazz
1997-98,Chicago,Utah Jazz
1998-99,San Antonio,New York Knicks
1999-00,LA Lakers,Indiana Pacers
2000-01,LA Lakers,Philadelphia 76ers
2001-02,LA Lakers,New Jersey Nets
2002-03,San Antonio,New Jersey Nets
2003-04,Detroit,Los Angeles Lakers
2004-05,San Antonio,Detroit Pistons
2005-06,Miami,Dallas Mavericks
2006-07,San Antonio,Cleveland Cavaliers
2007-08,Boston,Los Angeles Lakers
2008-09,Los Angeles,Orlando Magic
2009–10,Los Angeles,Boston Celtics
2010–11,Dallas,Miami Heat
2011-12,Miami,Oklahoma City Thunder
2012-13,Miami,San Antonio Spurs
2013-14,San Antonio,Miami
2014-15,Golden State,Cleveland Cavaliers
2015-16,Cleveland,Golden State Warriors
2016-17,Golden State,Cleveland Cavaliers
2017-18,Golden State,Cleveland Cavaliers
2018-19,Toronto,Golden State Warriors
