Year,Salary Cap (USD)
1984-85,3600000
1985-86,4233000
1986-87,4945000
1987-88,6164000
1988-89,7232000
1989-90,9802000
1990-91,11871000
1991-92,12500000
1992-93,14000000
1993-94,15175000
1994-95,15964000
1995-96,23000000
1996-97,24363000
1997-98,26900000
1998-99,30000000
1999-00,34000000
2000-01,35500000
2001-02,42500000
2002-03,40271000
2003-04,43840000
2004-05,43870000
2005-06,49500000
2006-07,53135000
2007-08,55630000
2008-09,58680000
2009-10,57700000
2010-11,58044000
2011-12,58044000
2012-13,58044000
2013-14,58679000
2014-15,63065000
2015-16,70000000
2016-17,94143000
2017-18,99093000
2018-19,101869000
2019-20,109140000
2020-21,109140000
